Date,Q_DET_SWG,Q_DET_GEN,Q_DET_LRO,Q_DET_URO,DET_QTot,Q_BCL_GEN,Q_BCL_SWG,BCL_QTot,DET_TDG,BCL1_TDG,BCL2_TDG,BCLO_TDG
2023-12-31T17:00:00-0800,0,89.9999998841679,0,0,89.9999998841679,1450.0000000565,0,1450.0000000565,101.037684325505,107.755102040816,108.163265306122,107.482993197279
2023-12-31T18:00:00-0800,0,0,0,0,0,1430.00000012148,0,1430.00000012148,101.172620670848,106.929347826087,107.608695652174,106.521739130435
2023-12-31T19:00:00-0800,0,0,0,0,0,1489.99999992655,0,1489.99999992655,102.536133078811,106.114130434783,107.201086956522,105.842391304348
2023-12-31T20:00:00-0800,0,0,0,0,0,1530.00000014973,0,1530.00000014973,104.308699209163,105.842391304348,106.929347826087,105.163043478261
2023-12-31T21:00:00-0800,0,0,0,0,0,1689.99999998305,0,1689.99999998305,120.534496863921,106.385869565217,106.79347826087,104.619565217391
2023-12-31T22:00:00-0800,0,0,0,0,0,1670.00000004803,0,1670.00000004803,121.898009271884,107.201086956522,107.065217391304,105.027173913043
2023-12-31T23:00:00-0800,0,0,0,0,0,1639.99999996892,0,1639.99999996892,122.170711753477,108.288043478261,107.336956521739,105.570652173913
2024-01-01T00:00:00-0800,0,0,0,0,0,1600.00000009888,0,1600.00000009888,122.44341423507,109.375,107.880434782609,106.521739130435
2024-01-01T01:00:00-0800,0,0,0,2197.79,2197.79,1609.99999988982,0,1609.99999988982,121.898009271884,111.005434782609,108.559782608696,107.608695652174
2024-01-01T02:00:00-0800,0,0,0,2197.4,2197.4,1600.00000009888,0,1600.00000009888,121.595860566449,112.483039348711,109.090909090909,108.548168249661
2024-01-01T03:00:00-0800,0,0,0,2197.02,2197.02,1609.99999988982,0,1609.99999988982,121.595860566449,113.975576662144,110.040705563094,110.176390773406
2024-01-01T04:00:00-0800,0,0,0,2196.63,2196.63,1609.99999988982,0,1609.99999988982,121.732026143791,114.38263229308,110.719131614654,111.533242876526
2024-01-01T05:00:00-0800,0,0,0,2196.43,2196.43,1639.99999996892,0,1639.99999996892,121.868191721133,114.518317503392,111.12618724559,112.211668928087
2024-01-01T06:00:00-0800,0,0,0,0,0,1629.99999982484,0,1629.99999982484,121.732026143791,113.568521031208,111.12618724559,112.347354138399
2024-01-01T07:00:00-0800,0,0,0,0,0,1629.99999982484,0,1629.99999982484,121.323529411765,112.618724559023,110.854816824966,111.668928086839
2024-01-01T08:00:00-0800,0,0,0,0,0,1600.00000009888,0,1600.00000009888,120.642701525054,111.804613297151,110.312075983718,110.854816824966
2024-01-01T09:00:00-0800,0,0,0,0,0,1600.00000009888,0,1600.00000009888,119.825708061002,110.990502035278,109.905020352782,110.040705563094
2024-01-01T10:00:00-0800,0,80.0000000932307,0,0,80.0000000932307,1589.9999999548,0,1589.9999999548,118.600217864924,110.176390773406,109.633649932157,109.497964721845
2024-01-01T11:00:00-0800,0,2120.00000017516,0,0,2120.00000017516,1589.9999999548,0,1589.9999999548,103.07734204793,109.497964721845,109.226594301221,108.819538670285
2024-01-01T12:00:00-0800,0,2219.99999985027,0,0,2219.99999985027,1600.00000009888,0,1600.00000009888,101.171023965142,108.683853459973,108.819538670285,108.141112618725
2024-01-01T13:00:00-0800,0,2199.99999991525,0,0,2199.99999991525,1600.00000009888,0,1600.00000009888,101.172620670848,107.880434782609,108.559782608696,107.608695652174
2024-01-01T14:00:00-0800,0,2219.99999985027,0,0,2219.99999985027,1609.99999988982,0,1609.99999988982,100.899918189256,107.201086956522,108.016304347826,106.929347826087
2024-01-01T15:00:00-0800,0,2229.99999999435,0,0,2229.99999999435,1609.99999988982,0,1609.99999988982,100.763566948459,106.79347826087,107.608695652174,106.114130434783
2024-01-01T16:00:00-0800,0,2149.99999990112,0,0,2149.99999990112,1629.99999982484,0,1629.99999982484,100.763566948459,107.065217391304,107.336956521739,105.70652173913
2024-01-01T17:00:00-0800,0,89.9999998841679,0,0,89.9999998841679,1609.99999988982,0,1609.99999988982,102.263430597218,107.608695652174,107.336956521739,105.70652173913
2024-01-01T18:00:00-0800,0,0,0,0,0,1600.00000009888,0,1600.00000009888,102.399781838015,108.423913043478,107.472826086957,105.978260869565
2024-01-01T19:00:00-0800,0,0,0,0,0,1589.9999999548,0,1589.9999999548,104.717752931552,109.782608695652,107.880434782609,106.657608695652
2024-01-01T20:00:00-0800,0,0,0,2199.54,2199.54,1600.00000009888,0,1600.00000009888,120.425996723102,110.748299319728,108.707482993197,108.027210884354
2024-01-01T21:00:00-0800,0,0,0,2199.25,2199.25,1580.00000016386,0,1580.00000016386,120.562534134353,112.244897959184,109.251700680272,108.843537414966
2024-01-01T22:00:00-0800,0,0,0,2153.23,2153.23,1600.00000009888,0,1600.00000009888,120.699071545603,113.605442176871,109.931972789116,109.931972789116
2024-01-01T23:00:00-0800,0,0,0,2152.86,2152.86,1600.00000009888,0,1600.00000009888,121.137544435329,114.986376021798,110.762942779292,111.307901907357
2024-01-02T00:00:00-0800,0,0,0,2152.58,2152.58,1600.00000009888,0,1600.00000009888,121.684440798469,115.66757493188,111.307901907357,112.534059945504
2024-01-02T01:00:00-0800,0,0,0,2152.2,2152.2,1609.99999988982,0,1609.99999988982,121.957888980038,115.940054495913,111.58038147139,113.079019073569
2024-01-02T02:00:00-0800,0,0,0,2151.82,2151.82,1629.99999982484,0,1629.99999982484,122.368061252393,115.940054495913,111.716621253406,113.487738419619
2024-01-02T03:00:00-0800,0,0,0,2066.12,2066.12,1629.99999982484,0,1629.99999982484,122.809419496166,115.68894952251,111.869031377899,113.642564802183
2024-01-02T04:00:00-0800,0,0,0,2065.68,2065.68,1629.99999982484,0,1629.99999982484,122.672508214677,115.006821282401,111.459754433834,113.369713506139
2024-01-02T05:00:00-0800,0,0,0,2065.59,2065.59,1650.00000011301,0,1650.00000011301,122.566493007952,113.934426229508,111.338797814208,112.978142076503
2024-01-02T06:00:00-0800,0,0,0,0,0,1629.99999982484,0,1629.99999982484,122.566493007952,112.704918032787,111.065573770492,112.021857923497
2024-01-02T07:00:00-0800,0,0,0,0,0,1629.99999982484,0,1629.99999982484,122.048325096101,111.764705882353,110.533515731874,110.9439124487
2024-01-02T08:00:00-0800,0,0,0,0,0,1600.00000009888,0,1600.00000009888,120.812740252608,110.259917920657,109.986320109439,110.259917920657
