Stock,Year,Adult Escapement,Jack Escapement,Total Escapement,Alaska Catch,Below Mission Catch ,Above Mission Catch,DBE,Run Size
Weaver,1999,34634,204,"34,838",3482,18530,6116,-180674,243640
Weaver,2000,6613,10,"6,623",236,216455,3520,-232526,459361
Weaver,2001,19915,176,"20,091",1560,26502,4206,-171662,224021
Weaver,2002,101033,18,"101,051",19,81510,113539,-297124,593244
Weaver,2003,49488,389,"49,877",3454,56607,12572,-115674,238185
Weaver,2004,25379,50,"25,429",4814,39153,5432,-76630,151458
Weaver,2005,48516,321,"48,837",0,12143,9058,-90818,160856
Weaver,2006,39781,23,"39,804",239,64299,9392,-162967,276700
Weaver,2007,37300,92,"37,392",9114,9068,2306,-77532,135411
Weaver,2008,2756,57,"2,813",78,14987,1917,-110861,130656
Weaver,2009,35556,417,"35,973",1246,4986,185,-67946,118913
Weaver,2010,59897,1366,"61,263",0,110780,,-295930,218627
Weaver,2011,72569,8,"72,577",1,133087,48644,-411154,336511
Weaver,2012,918,6,924,1,12993,2591,-76386,30570
Weaver,2013,35537,540,"36,077",915,5399,1342,-76125,255205
Weaver,2014,24646,0,"24,646",1221,101051,3353,-30712,139497
Weaver,2015,3014,18,"3,032",1104,265,2,-5154,11481
Weaver,2016,274,26,300,0,272,3,-665,1113
Weaver,2017,32779,102,"32,881",315,2953,330,-68026,63437
Weaver,2018,15095,0,"15,095",0,29823,941,-22759,51005
Weaver,2019,1806,17,"1,823",0,39,0,-1142,3685
Weaver,2020,84,23,107,0,17,0,-91,445
Weaver,2021,80395,54,"80,449",5337,1283,9272,-294421,156140
Weaver,2022,97133,7,"97,140",557,106816,3831,-222139,333970
Weaver,2023,38466,27,"38,493",362,1735,2,-53473,88469
Widgeon,1952,1311,122,"1,433",,4101,,,5534
Widgeon,1953,1464,30,"1,494",,6187,,,7681
Widgeon,1954,1000,0,"1,000",,5350,,,6350
Widgeon,1955,100,0,100,,720,,,820
Widgeon,1956,919,81,"1,000",,2816,,,3816
Widgeon,1957,1164,36,"1,200",,8728,,,9928
Widgeon,1958,653,40,693,,1602,,,2295
Widgeon,1959,622,15,637,,6558,1,,7196
Widgeon,1960,400,0,400,,825,,,1225
Widgeon,1961,1291,2,"1,293",,710,,,2003
Widgeon,1962,599,0,599,,876,,,1475
Widgeon,1963,353,0,353,,709,,,1062
Widgeon,1964,660,7,667,,878,,,1545
Widgeon,1965,275,0,275,,683,,,958
Widgeon,1966,866,18,884,,1672,,,2556
Widgeon,1967,998,8,"1,006",,4608,,,5614
Widgeon,1968,1552,0,"1,552",,1458,,,3010
Widgeon,1969,715,0,715,,1533,,,2248
Widgeon,1970,361,3,364,,1736,,,2100
Widgeon,1971,394,0,394,,4409,,,4803
Widgeon,1972,298,4,302,,715,,,1017
Widgeon,1973,427,0,427,,2814,,,3241
Widgeon,1974,1632,11,"1,643",,8723,,,10366
Widgeon,1975,911,25,936,,3564,,,4500
Widgeon,1976,1366,25,"1,391",,8200,40,,9631
Widgeon,1977,422,5,427,,1681,19,-47,2174
Widgeon,1978,1574,26,"1,600",,4114,43,193,5757
Widgeon,1979,599,0,599,,1324,38,37,1961
Widgeon,1980,389,0,389,,784,18,-142,1334
Widgeon,1981,572,0,572,,2654,36,-118,3379
Widgeon,1982,509,6,515,,5613,6,-2131,8265
Widgeon,1983,943,0,943,191,5211,30,797,6375
Widgeon,1984,266,0,266,0,2822,11,-654,3752
Widgeon,1985,801,0,801,4,1107,12,799,1924
Widgeon,1986,1300,0,"1,300",0,4566,28,-1405,7298
Widgeon,1987,1549,8,"1,557",0,1642,,1555,3199
Widgeon,1988,2118,15,"2,133",0,7783,22,-4959,14897
Widgeon,1989,391,0,391,37,5647,,-1552,7628
Widgeon,1990,0,0,0,,,,0,0
Widgeon,1991,634,0,634,0,936,11,-194,1775
Widgeon,1992,92,0,92,26,994,,-300,1412
Widgeon,1994,157,0,157,0,590,1,-316,1064
Widgeon,1995,119,0,119,0,146,15,14,281
Widgeon,1996,94,0,94,2,56,3,-9,163
Widgeon,1997,32,0,32,16,912,5,-182,1147
Widgeon,1998,70,0,70,0,5,2,-57,133
Widgeon,1999,162,0,162,0,44,5,-332,543
Widgeon,2000,29,0,29,0,38,2,-45,114
Widgeon,2001,85,0,85,2,48,12,-223,370
Widgeon,2002,680,0,680,0,50,15,-36,782
Widgeon,2003,122,62,184,,,,184,184
Widgeon,2004,49,0,49,,,,49,49
Widgeon,2005,294,7,301,0,1040,,155,1341
Widgeon,2006,171,0,171,0,649,,171,820
Widgeon,2007,176,0,176,0,3,,176,179
Widgeon,2008,85,0,85,0,8,,-166,258
Widgeon,2009,1556,3,"1,559",0,20,,1408,2028
Widgeon,2010,1015,0,"1,015",0,4,,-535,1724
Widgeon,2011,1534,5,"1,539",0,447,,1539,2585
Widgeon,2012,461,5,466,0,71,,-480,942
Widgeon,2013,1695,10,"1,705",0,12,,1373,2447
Widgeon,2014,364,0,364,0,4,,364,489
Widgeon,2015,137,0,137,0,186,,137,382
Widgeon,2016,236,0,236,0,7,,-292,344
Widgeon,2017,139,0,139,0,3,,65,188
Widgeon,2018,171,0,171,,,,171,228
Widgeon,2019,176,0,176,0,4,,68,239
Widgeon,2020,245,3,248,,,,248,331
Widgeon,2021,124,0,124,,,,124,155
Widgeon,2022,223,0,223,,,,223,279
Widgeon,2023,68,0,68,0,28,,48,125
